Unit,Quarter,Month,Quantity,Year,Booking_Month,Booking_Year
CSWBU,Q1,AUG,204,2022,1,2016
CSWBU,Q1,OCT,564,2022,1,2016
CSWBU,Q1,SEP,1476,2022,1,2016
CSWBU,Q1,AUG,374,2002,1,2017
CSWBU,Q1,OCT,6094,2002,1,2017
CSWBU,Q1,SEP,354,2002,1,2017
CSWBU,Q1,AUG,906,2008,1,2018
CSWBU,Q1,OCT,664,2008,1,2018
CSWBU,Q1,SEP,2146,2008,1,2018
CSWBU,Q1,AUG,606,2007,1,2019
CSWBU,Q1,OCT,1039,2007,1,2019
CSWBU,Q1,SEP,682,2007,1,2019
CSWBU,Q1,AUG,279,2011,1,2020
CSWBU,Q1,OCT,407,2011,1,2020
CSWBU,Q1,SEP,234,2011,1,2020
CSWBU,Q1,AUG,64,2012,1,2021
CSWBU,Q1,OCT,303,2012,1,2021
CSWBU,Q1,SEP,742,2012,1,2021
CSWBU,Q1,AUG,641,2022,1,2022
CSWBU,Q1,OCT,530,2022,1,2022
CSWBU,Q1,SEP,291,2022,1,2022
CSWBU,Q2,DEC,3680,2022,1,2016
CSWBU,Q2,JAN,2576,2022,1,2016
CSWBU,Q2,NOV,154,2022,1,2016
CSWBU,Q2,DEC,1821,2002,1,2017
CSWBU,Q2,JAN,4740,2002,1,2017
CSWBU,Q2,NOV,335,2002,1,2017
CSWBU,Q2,DEC,368,2008,1,2018
CSWBU,Q2,JAN,746,2008,1,2018
CSWBU,Q2,NOV,1635,2008,1,2018
CSWBU,Q2,DEC,1526,2007,1,2019
CSWBU,Q2,JAN,1913,2007,1,2019
CSWBU,Q2,NOV,26,2007,1,2019
CSWBU,Q2,DEC,204,2011,1,2020
CSWBU,Q2,JAN,648,2011,1,2020
CSWBU,Q2,NOV,336,2011,1,2020
CSWBU,Q2,DEC,424,2012,1,2021
CSWBU,Q2,JAN,74,2012,1,2021
CSWBU,Q2,NOV,581,2012,1,2021
CSWBU,Q2,DEC,214,2022,1,2022
CSWBU,Q2,JAN,139,2022,1,2022
CSWBU,Q2,NOV,167,2022,1,2022
CSWBU,Q3,APR,4304,2022,1,2016
CSWBU,Q3,FEB,3562,2022,1,2016
CSWBU,Q3,MAR,1158,2022,1,2016
CSWBU,Q3,APR,3908,2002,1,2017
CSWBU,Q3,FEB,483,2002,1,2017
CSWBU,Q3,MAR,1721,2002,1,2017
CSWBU,Q3,APR,3894,2008,1,2018
CSWBU,Q3,FEB,1972,2008,1,2018
CSWBU,Q3,MAR,2108,2008,1,2018
CSWBU,Q3,APR,950,2007,1,2019
CSWBU,Q3,FEB,743,2007,1,2019
CSWBU,Q3,MAR,525,2007,1,2019
CSWBU,Q3,APR,946,2011,1,2020
CSWBU,Q3,FEB,84,2011,1,2020
CSWBU,Q3,MAR,164,2011,1,2020
CSWBU,Q3,APR,436,2012,1,2021
CSWBU,Q3,FEB,110,2012,1,2021
CSWBU,Q3,MAR,917,2012,1,2021
CSWBU,Q4,JUL,2092,2015,1,2015
CSWBU,Q4,JUL,1590,2002,1,2017
